h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
2 4 1   0 1 1 4 1 5 2 3    -1/90
2 4 1   0 1 1 4 1 5 2 4    -1/90
2 4 1   0 1 1 4 2 3 1 4    1/30
2 4 1   0 3 1 4 1 5 1 2    1/90
2 4 1   0 3 1 4 1 2 1 3    1/90
2 4 1   0 3 1 2 1 3 1 4    1/90
2 4 1   0 3 1 4 1 2 1 4    -1/30
2 4 1   0 3 1 4 1 2 1 2    -1/45
2 4 1   0 3 1 2 1 3 1 3    -1/60
2 4 1   0 3 1 2 1 2 1 3    -1/45
2 4 1   0 3 1 2 1 2 1 4    -1/45
2 4 1   0 3 1 2 1 2 1 2    -1/20
2 4 1   0 1 0 2 0 2 2 3    -7/90
2 4 1   0 1 0 2 0 3 2 3    1/90
2 4 1   0 1 0 2 0 3 2 4    -1/30
2 4 1   0 1 0 2 0 3 3 4    -2/45
2 4 1   0 1 0 2 0 5 2 3    -1/30
2 4 1   0 1 0 2 0 5 2 4    -1/45
2 4 1   0 1 0 2 0 5 3 4    1/90
2 4 1   0 1 0 4 0 5 2 3    1/90
2 4 1   0 1 0 4 0 5 2 4    1/90
2 4 1   0 1 0 4 2 3 0 4    -1/30
2 4 1   0 3 0 4 0 5 1 2    1/90
2 4 1   0 3 0 4 0 5 1 3    1/90
2 4 1   0 3 0 4 0 5 1 4    1/90
2 4 1   0 3 0 4 1 2 0 3    -1/30
2 4 1   0 3 0 4 1 2 0 4    -1/45
2 4 1   0 3 0 4 1 3 0 3    -1/60
2 4 1   0 3 0 4 1 3 0 4    -1/45
2 4 1   0 3 0 4 1 5 0 4    -1/45
2 4 1   0 3 1 2 0 3 0 3    -1/20
2 4 1   0 3 1 2 2 3 2 3    -1/40
2 4 1   0 3 1 2 2 3 2 4    -1/72
2 4 1   0 3 1 2 2 3 3 4    1/72
2 4 1   0 3 1 2 2 5 3 4    1/360
2 4 1   0 3 1 4 2 3 2 3    -1/60
2 4 1   0 3 2 4 1 2 2 4    -1/60
2 4 1   0 3 1 4 2 3 2 4    0
2 4 1   0 3 2 4 1 2 3 4    0
2 4 1   0 3 1 4 2 3 3 4    17/720
2 4 1   0 3 2 4 1 2 2 3    -17/720
2 4 1   0 3 1 4 2 5 2 3    -1/180
2 4 1   0 3 4 5 1 2 2 4    1/180
2 4 1   0 3 1 4 2 5 2 4    1/360
2 4 1   0 3 4 5 1 2 3 4    -1/360
2 4 1   0 3 1 4 2 5 3 4    1/160
2 4 1   0 3 4 5 1 2 2 3    1/160
2 4 1   0 3 1 4 3 5 2 3    -17/1440
2 4 1   0 3 2 4 2 5 1 2    17/1440
2 4 1   0 3 1 4 3 5 2 4    -1/360
2 4 1   0 3 2 4 3 5 1 2    1/360
2 4 1   0 3 2 4 1 3 2 3    -13/720
2 4 1   0 3 2 4 1 3 3 4    -13/720
2 4 1   0 3 2 4 1 3 2 4    -1/60
2 4 1   0 3 2 4 1 5 2 3    -7/720
2 4 1   0 3 4 5 1 5 2 4    7/720
2 4 1   0 3 2 4 1 5 2 4    -1/180
2 4 1   0 3 2 4 1 5 3 4    1/160
2 4 1   0 3 2 4 2 5 1 4    1/160
2 4 1   0 3 2 4 2 5 1 3    13/1440
2 4 1   0 3 4 5 1 3 2 4    -13/1440
2 4 1   0 3 2 4 3 5 1 3    -1/1440
2 4 1   0 3 4 5 1 3 2 3    1/1440
2 4 1   0 3 2 4 3 5 1 4    1/360
2 4 1   0 3 4 5 1 5 2 3    1/240
2 4 1   0 1 1 2 2 3 2 3    -13/360
2 4 1   0 1 1 2 2 3 2 4    -1/720
2 4 1   0 1 1 2 2 3 3 4    1/30
2 4 1   0 1 1 2 2 5 3 4    -1/720
2 4 1   0 1 1 4 2 3 2 3    -19/720
2 4 1   0 1 1 4 2 3 2 4    1/180
2 4 1   0 1 1 4 2 3 3 4    13/360
2 4 1   0 1 1 4 2 5 2 3    -1/720
2 4 1   0 1 1 4 2 5 2 4    1/360
2 4 1   0 1 1 4 2 5 3 4    1/720
2 4 1   0 1 1 4 3 5 2 3    -1/80
2 4 1   0 1 1 4 3 5 2 4    -1/180
2 4 1   0 3 1 4 1 2 3 4    -1/36
2 4 1   0 3 1 4 1 2 2 3    1/60
2 4 1   0 3 1 4 1 2 2 4    -1/720
2 4 1   0 3 1 2 1 3 3 4    1/45
2 4 1   0 3 1 2 1 3 2 4    17/720
2 4 1   0 3 1 2 1 3 2 3    13/360
2 4 1   0 3 4 5 1 2 1 4    1/120
2 4 1   0 3 2 4 1 5 1 2    1/240
2 4 1   0 3 2 4 1 2 1 4    -1/80
2 4 1   0 3 1 4 1 5 2 3    -1/72
2 4 1   0 3 1 4 2 5 1 3    -1/90
2 4 1   0 3 2 4 1 5 1 3    -1/180
2 4 1   0 3 1 4 1 5 2 4    -1/360
2 4 1   0 3 1 4 2 3 1 3    1/720
2 4 1   0 3 2 4 1 3 1 4    -1/180
2 4 1   0 3 1 2 1 2 2 3    17/180
2 4 1   0 3 1 2 1 2 3 4    -1/72
2 4 1   0 3 1 2 1 2 2 4    7/180
2 4 1   0 3 1 2 1 5 2 3    7/180
2 4 1   0 3 1 2 1 5 3 4    -1/180
2 4 1   0 3 1 2 1 5 2 4    1/90
2 4 1   0 3 1 4 2 5 1 2    1/80
2 4 1   0 3 1 4 3 5 1 2    1/120
2 4 1   0 3 1 4 2 3 1 2    1/40
2 4 1   0 3 2 4 1 2 1 2    -1/360
2 4 1   0 3 2 4 1 2 1 3    -11/720
2 4 1   0 3 1 4 2 3 1 4    7/240
2 4 1   0 3 4 5 1 2 1 3    -1/180
2 4 1   0 3 1 4 2 5 1 4    1/60
2 4 1   0 3 2 4 1 3 1 2    1/90
2 4 1   0 3 2 4 1 3 1 3    1/60
2 4 1   0 1 0 2 2 3 2 3    13/360
2 4 1   0 1 0 2 2 3 2 4    1/720
2 4 1   0 1 0 2 2 3 3 4    -1/30
2 4 1   0 1 0 2 2 5 3 4    1/720
2 4 1   0 1 0 4 2 3 2 3    19/720
2 4 1   0 1 0 4 2 3 2 4    -1/180
2 4 1   0 1 0 4 2 3 3 4    -13/360
2 4 1   0 1 0 4 2 5 2 3    1/720
2 4 1   0 1 0 4 2 5 2 4    -1/360
2 4 1   0 1 0 4 2 5 3 4    -1/720
2 4 1   0 1 0 4 3 5 2 3    1/80
2 4 1   0 1 0 4 3 5 2 4    1/180
2 4 1   0 3 0 4 1 2 2 3    -1/36
2 4 1   0 3 0 4 1 2 2 4    -1/60
2 4 1   0 3 0 4 1 2 3 4    1/720
2 4 1   0 3 0 4 1 3 2 3    -1/45
2 4 1   0 3 0 4 1 3 2 4    -17/720
2 4 1   0 3 0 4 1 3 3 4    -13/360
2 4 1   0 3 0 4 1 5 2 3    -1/120
2 4 1   0 3 0 4 1 5 2 4    -1/240
2 4 1   0 3 0 4 1 5 3 4    1/80
2 4 1   0 3 0 4 2 5 1 2    1/72
2 4 1   0 3 0 4 2 5 1 3    1/90
2 4 1   0 3 0 4 2 5 1 4    1/180
2 4 1   0 3 0 4 3 5 1 2    1/360
2 4 1   0 3 0 4 3 5 1 3    -1/720
2 4 1   0 3 0 4 3 5 1 4    1/180
2 4 1   0 3 1 2 0 3 2 3    -17/180
2 4 1   0 3 1 2 0 3 2 4    -1/72
2 4 1   0 3 1 2 0 3 3 4    7/180
2 4 1   0 3 1 2 0 5 2 3    -7/180
2 4 1   0 3 1 2 0 5 2 4    -1/180
2 4 1   0 3 1 2 0 5 3 4    1/90
2 4 1   0 3 1 4 0 5 2 3    -1/80
2 4 1   0 3 1 4 0 5 2 4    -1/120
2 4 1   0 3 1 4 0 5 3 4    1/40
2 4 1   0 3 1 4 2 3 0 3    1/360
2 4 1   0 3 1 4 2 3 0 4    11/720
2 4 1   0 3 2 4 1 2 0 3    -7/240
2 4 1   0 3 1 4 2 5 0 4    -1/180
2 4 1   0 3 2 4 1 5 0 3    -1/60
2 4 1   0 3 1 4 3 5 0 4    1/90
2 4 1   0 3 2 4 1 3 0 3    -1/60
2 4 1   0 1 0 4 1 3 3 4    -1/6
2 4 1   0 3 1 2 0 5 1 4    1/72
2 4 1   0 1 0 1 2 3 2 3    17/360
2 4 1   0 1 0 1 2 3 2 4    1/24
2 4 1   0 1 0 1 2 5 3 4    1/180
2 4 1   0 1 0 2 1 2 2 3    2/45
2 4 1   0 1 0 2 1 2 2 4    -2/45
2 4 1   0 1 0 2 1 2 3 4    -1/30
2 4 1   0 1 0 2 1 3 2 3    1/8
2 4 1   0 1 0 4 1 2 2 4    -1/8
2 4 1   0 1 0 2 1 3 2 4    1/720
2 4 1   0 1 0 4 1 2 2 3    -1/720
2 4 1   0 1 0 2 1 3 3 4    -11/180
2 4 1   0 1 0 4 1 2 3 4    -11/180
2 4 1   0 1 0 2 1 5 2 3    1/36
2 4 1   0 1 0 4 2 5 1 2    -1/36
2 4 1   0 1 0 2 1 5 2 4    1/90
2 4 1   0 1 0 4 2 3 1 2    -1/90
2 4 1   0 1 0 2 1 5 3 4    -1/180
2 4 1   0 1 0 4 3 5 1 2    -1/180
2 4 1   0 1 0 4 1 3 2 3    1/18
2 4 1   0 1 0 4 1 3 2 4    -1/18
2 4 1   0 1 0 4 1 5 2 3    1/144
2 4 1   0 1 0 4 2 5 1 3    -1/144
2 4 1   0 1 0 4 1 5 2 4    -1/90
2 4 1   0 1 0 4 2 3 1 3    1/90
2 4 1   0 1 0 4 2 3 1 4    -1/60
2 4 1   0 1 0 4 2 5 1 4    1/60
2 4 1   0 3 0 4 1 2 1 2    -1/240
2 4 1   0 3 1 4 1 2 0 3    -1/240
2 4 1   0 3 0 4 1 2 1 3    -13/720
2 4 1   0 3 1 4 0 5 1 3    -13/720
2 4 1   0 3 0 4 1 2 1 4    -1/90
2 4 1   0 3 0 4 1 5 1 3    -1/90
2 4 1   0 3 0 4 1 3 1 2    1/60
2 4 1   0 3 1 2 0 5 1 3    1/60
2 4 1   0 3 0 4 1 3 1 3    1/30
2 4 1   0 3 1 2 0 3 1 3    1/30
2 4 1   0 3 0 4 1 3 1 4    -1/90
2 4 1   0 3 0 4 1 5 1 2    1/360
2 4 1   0 3 1 2 0 3 1 2    13/90
2 4 1   0 3 1 2 0 3 1 4    13/180
2 4 1   0 3 1 2 0 5 1 2    13/180
2 4 1   0 3 1 4 0 5 1 2    1/72
