h^0:
2 0 1              1
h^1:
2 1 1   0 1        1/2
2 4 1   0 3 0 2 1 2 1 2    w_4_64
2 4 1   0 3 0 2 1 2 1 3    w_4_65
2 4 1   0 3 0 2 1 2 1 4    w_4_66
2 4 1   0 3 0 2 1 2 2 3    w_4_67
2 4 1   0 3 0 2 1 2 2 4    w_4_68
2 4 1   0 3 0 2 1 2 3 4    w_4_69
2 4 0   0 3 0 2 1 5 2 3    0
2 4 1   0 3 0 2 1 5 2 4    w_4_70
2 4 1   0 3 0 4 0 2 1 2    w_4_71
2 4 1   0 3 0 4 0 5 1 2    w_4_72
2 4 1   0 3 0 4 0 5 1 3    w_4_73
2 4 1   0 3 0 4 0 5 1 4    w_4_74
2 4 1   0 3 0 4 1 2 0 3    w_4_75
2 4 1   0 3 0 4 1 2 0 4    w_4_76
2 4 1   0 3 0 4 1 2 1 2    w_4_77
2 4 1   0 3 0 4 1 2 1 3    w_4_78
2 4 1   0 3 0 4 1 2 1 4    w_4_79
2 4 1   0 3 0 4 1 2 2 3    w_4_80
2 4 1   0 3 0 4 1 2 2 4    w_4_81
2 4 1   0 3 0 4 1 2 3 4    w_4_82
2 4 1   0 3 0 4 1 3 0 3    w_4_83
2 4 1   0 3 0 4 1 3 0 4    w_4_84
2 4 1   0 3 0 4 1 3 1 2    w_4_85
2 4 1   0 3 0 4 1 3 1 3    w_4_86
2 4 1   0 3 0 4 1 3 1 4    w_4_87
2 4 1   0 3 0 4 1 3 2 3    w_4_88
2 4 1   0 3 0 4 1 3 2 4    w_4_89
2 4 1   0 3 0 4 1 3 3 4    w_4_90
2 4 1   0 3 0 4 1 5 0 4    w_4_91
2 4 1   0 3 0 4 1 5 1 2    w_4_92
2 4 1   0 3 0 4 1 5 2 3    w_4_93
2 4 1   0 3 0 4 1 5 2 4    w_4_94
2 4 1   0 3 0 4 1 5 3 4    w_4_95
2 4 1   0 3 0 4 2 3 1 2    w_4_96
2 4 1   0 3 0 4 2 3 1 3    w_4_97
2 4 1   0 3 0 4 2 3 1 4    w_4_98
2 4 1   0 3 0 4 2 5 1 2    w_4_99
2 4 1   0 3 0 4 2 5 1 3    w_4_100
2 4 1   0 3 0 4 2 5 1 4    w_4_101
2 4 1   0 3 0 4 3 5 1 2    w_4_102
2 4 1   0 3 0 4 3 5 1 3    w_4_103
2 4 1   0 3 0 4 3 5 1 4    w_4_104
2 4 1   0 3 1 2 0 3 0 3    w_4_105
2 4 1   0 3 1 2 0 3 1 2    w_4_106
2 4 1   0 3 1 2 0 3 1 4    w_4_107
2 4 1   0 3 1 2 0 3 2 3    w_4_108
2 4 1   0 3 1 2 0 3 2 4    w_4_109
2 4 1   0 3 1 2 0 3 3 4    w_4_110
2 4 1   0 3 1 2 0 5 2 3    w_4_111
2 4 1   0 3 1 2 0 5 2 4    w_4_112
2 4 1   0 3 1 2 0 5 3 4    w_4_113
2 4 1   0 3 1 2 2 3 2 3    w_4_114
2 4 1   0 3 1 2 2 3 2 4    w_4_115
2 4 1   0 3 1 2 2 5 2 4    w_4_116
2 4 1   0 3 1 2 2 5 3 4    w_4_117
2 4 1   0 3 1 4 0 5 1 2    w_4_118
2 4 1   0 3 1 4 0 5 2 3    w_4_119
2 4 1   0 3 1 4 0 5 2 4    w_4_120
2 4 1   0 3 1 4 0 5 3 4    w_4_121
2 4 1   0 3 1 4 2 3 0 3    w_4_122
2 4 1   0 3 1 4 2 3 0 4    w_4_123
2 4 1   0 3 1 4 2 3 1 4    w_4_124
2 4 1   0 3 1 4 2 3 2 3    w_4_125
2 4 1   0 3 1 4 2 3 2 4    w_4_126
2 4 1   0 3 1 4 2 3 3 4    w_4_127
2 4 0   0 3 1 4 2 5 0 3    0
2 4 1   0 3 1 4 2 5 0 4    w_4_128
2 4 1   0 3 1 4 2 5 1 4    w_4_129
2 4 1   0 3 1 4 2 5 2 3    w_4_130
2 4 1   0 3 1 4 2 5 2 4    w_4_131
2 4 1   0 3 1 4 2 5 3 4    w_4_132
2 4 1   0 3 1 4 3 5 0 4    w_4_133
2 4 1   0 3 1 4 3 5 1 4    w_4_134
2 4 1   0 3 1 4 3 5 2 3    w_4_135
2 4 1   0 3 1 4 3 5 2 4    w_4_136
2 4 1   0 3 1 4 3 5 3 4    w_4_137
2 4 0   0 3 2 4 0 3 1 3    0
2 4 1   0 3 2 4 1 3 0 3    w_4_138
2 4 1   0 3 2 4 1 3 2 3    w_4_139
2 4 1   0 3 2 4 1 3 2 4    w_4_140
2 4 1   0 3 2 4 1 5 2 3    w_4_141
2 4 1   0 3 2 4 1 5 2 4    w_4_142
2 4 1   0 3 2 4 1 5 3 4    w_4_143
2 4 1   0 3 2 4 2 3 1 3    w_4_144
2 4 1   0 3 2 4 2 3 1 4    w_4_145
2 4 1   0 3 2 4 2 5 1 3    w_4_146
2 4 1   0 3 2 4 3 5 1 3    w_4_147
2 4 1   0 3 2 4 3 5 1 4    w_4_148
2 4 1   0 3 4 5 1 5 2 3    w_4_149
